[y^2 = x^12 + x + 1] 11 65521
11,0,0,0,0,0
13,3,5,-2,6,6
17,7,-7,5,6,4
19,-2,-1,-9,0,0
23,-11,-2,6,-7,-11
29,-2,8,-10,13,11
31,-8,-15,-14,0,0
37,2,-3,15,8,7
41,-6,-15,-2,0,8
43,-7,14,-5,7,0
47,4,-2,-15,-17,1
53,-2,25,-17,2,-26
59,-9,-5,2,27,8
61,8,-6,3,-29,-6
67,10,-12,-9,-24,11
71,-8,20,32,-11,-10
73,-12,-3,16,23,18
79,-7,-4,16,15,3
83,-3,-36,1,-33,24
97,16,19,24,-42,45
101,0,8,28,-40,-4
103,6,11,-13,17,44
107,25,-22,-37,-15,-2
109,1,30,-39,11,-6
113,11,56,-25,-42,23
127,10,55,18,15,29
131,-12,-52,39,-29,-41
137,6,-30,-65,46,26
139,-5,-18,24,-27,-69
149,-5,7,-37,62,71
151,6,11,61,-1,35
157,14,19,-71,-31,-46
163,3,-73,-59,-15,30
167,-1,-63,-63,38,-72
173,-14,-65,-54,-78,-57
179,18,56,81,-36,-65
181,-6,-27,-82,29,-58
191,-13,86,37,92,-21
193,26,40,51,-55,25
197,-2,-6,56,-92,-59
199,14,-83,-59,-79,36
211,-10,63,-77,54,11
223,-11,101,-27,-27,-47
227,-18,102,-29,84,5
229,-8,55,49,-3,-102
233,-22,92,-104,38,30
239,13,-60,-57,98,26
241,30,105,-64,97,-116
251,10,70,87,66,-79
257,-20,-100,106,60,-108
263,-19,82,-21,3,-128
269,-14,-97,4,-58,56
271,-3,-121,-21,-133,-14
277,1,-100,7,109,33
281,-24,-31,-16,-11,-93
283,-9,-78,20,-51,72
293,2,-87,-87,87,32
307,-12,-26,-117,71,-95
311,-22,-36,-25,4,-62
313,-2,-8,58,131,-16
317,-18,-140,-39,152,-93
331,-12,-123,-144,157,-97
337,23,-126,-34,15,65
347,-20,-9,-46,-61,55
349,27,53,-28,-38,70
353,10,-40,26,85,70
359,7,172,116,-173,-92
367,-1,5,72,-156,-53
373,55,133,64,83,-176
379,3,-13,-156,51,121
383,2,61,93,89,-33
389,6,-173,68,186,-40
397,-34,175,-107,178,-155
401,7,-118,-181,148,100
409,14,54,123,93,75
419,19,164,164,-153,82
421,1,147,-3,204,-155
431,27,-54,-104,-1,73
433,8,81,77,-93,56
439,8,-190,142,28,43
443,-14,-7,-179,-113,149
449,-2,-90,132,-222,129
457,-26,-7,-218,-155,-133
461,9,135,60,13,54
463,-12,-178,24,-75,206
467,13,131,-168,132,-200
479,28,78,-27,-155,82
487,4,-105,-184,-236,83
491,0,157,82,115,189
499,-38,213,-148,-140,-2
503,0,170,-101,-20,146
509,-16,-148,47,232,21
521,17,-203,-178,-106,-27
523,10,158,100,-123,256
541,16,-71,-201,-131,115
547,7,172,0,-14,82
557,-30,9,161,137,13
563,-5,265,259,160,83
569,2,131,-263,249,-251
571,16,121,275,-156,161
577,-1,-130,180,-5,101
587,11,290,-165,102,62
593,30,-143,18,124,255
599,4,-40,131,-190,-253
601,-3,230,-299,-78,105
607,-28,-120,113,120,274
613,22,253,153,-292,171
617,34,15,4,-58,-13
619,-26,-166,220,261,-123
631,-40,-158,-212,222,-166
641,7,-202,-256,22,7
643,0,219,-106,-245,274
647,-57,263,117,-89,217
653,59,263,124,274,-225
659,-46,233,-194,-261,-97
661,22,208,-155,-213,172
673,-48,-211,-291,32,-286
677,37,85,-331,110,-25
683,71,43,-164,-49,182
691,1,-12,-283,-199,-197
701,-76,113,-261,171,241
709,-13,-245,8,63,-166
719,-5,-282,-213,-282,-100
727,-23,15,64,59,186
733,24,-206,-88,154,45
739,29,50,175,-324,-227
743,17,45,29,-351,313
751,-40,189,-281,216,21
757,-29,83,177,-205,105
761,-5,21,-174,303,225
769,18,265,-38,-257,265
773,-16,-75,25,7,239
787,-19,190,95,-331,314
797,9,-347,221,-45,90
809,15,-277,-321,-23,180
811,-3,203,-101,330,37
821,-26,-162,402,-158,-143
823,-52,188,254,-153,-402
827,18,-263,249,-302,385
829,-21,-172,-230,165,-314
839,31,-236,341,402,378
853,-14,394,168,-249,225
857,1,150,358,-77,302
859,14,139,246,-79,343
863,-18,-150,143,197,-200
877,-3,150,-44,-89,-416
881,-24,-288,-436,-177,-437
883,12,-154,351,111,302
887,12,146,319,67,14
907,37,-250,446,204,291
911,-28,-207,-217,-239,303
919,9,184,56,-74,-283
929,5,377,153,-135,426
937,-33,298,-373,467,-41
941,-23,-284,-157,-164,-335
947,9,322,-192,260,325
953,38,41,267,-279,-460
967,23,-333,-255,-360,-365
971,0,462,173,-182,-86
977,-32,-179,404,-331,-262
983,-5,-102,-355,-275,71
991,50,314,452,17,-147
997,-2,37,420,118,-174
1009,-30,-263,-116,501,-467
1013,12,343,13,-484,-399
1019,-29,-239,227,186,336
1021,-17,34,172,-442,457
1031,24,-358,-383,147,473
1033,-40,30,-212,-17,432
1039,-10,186,-109,281,407
1049,40,-337,-52,130,-316
1051,-55,401,367,-454,167
1061,-32,181,-224,-430,-35
1063,0,99,-128,73,-497
1069,59,-461,-400,533,155
1087,15,-329,-418,115,-225
1091,-32,-24,-452,-492,-218
1093,-52,-253,-56,-358,207
1097,23,-244,7,-289,156
1103,30,-485,284,-106,98
1109,8,-57,394,109,-523
1117,-67,63,-522,140,-220
1123,-50,514,89,-121,517
1129,-34,-85,-55,213,-317
1151,-15,398,-199,-361,279
1153,47,-427,-367,298,-198
1163,0,420,-161,289,-47
1171,-25,-513,243,-37,-517
1181,-13,-11,-310,-400,-115
1187,15,417,-204,380,-390
1193,1,-277,-199,-326,-528
1201,-14,324,-357,174,596
1213,-22,349,317,-175,117
1217,48,277,327,-79,544
1223,-2,-105,-127,-537,-573
1229,-23,429,16,204,-464
1231,29,-214,-7,233,-319
1237,15,63,146,600,-214
1249,11,88,384,-596,166
1259,44,164,251,-609,-36
1277,-45,-148,-304,608,-241
1279,-14,341,-535,115,-298
1283,-77,82,18,-287,538
1289,-10,-568,-614,-53,-601
1291,21,-478,-180,47,-307
1297,52,-353,-257,-488,-461
1301,34,75,7,-477,451
1303,12,-438,215,-363,-442
